final_test_acc,final_test_loss,steps_to_0.5,steps_to_0.9,weight_norm_reduction,benford_chi2_reduction,p1_change,condition,seed
1.0,5.756881364504807e-06,6500,7500,0.7056536831365603,0.9572983973887113,0.12363451012837762,baseline,5
1.0,5.352204607333988e-05,9500,10000,0.6641237842382745,0.8442369986052739,0.14634408980979746,baseline,59
1.0,7.057966740831034e-06,9000,9500,0.6941639885193621,0.9210766902203744,0.13766302914863437,baseline,1
1.0,6.7747273533314e-06,6500,6500,0.7116449945509341,0.9736926441250938,0.11748355502418448,baseline,98
1.0,7.087544418027392e-06,8500,9500,0.6984436324307035,0.9320542321618325,0.1343930701531076,baseline,19
1.0,6.71306088406709e-06,9000,10000,0.7007078681546721,0.9445127749219503,0.12898338909699236,baseline,110
1.0,6.819343980168924e-05,9000,10500,0.6594096123189692,0.9050984310922623,0.13950840091646363,baseline,52
1.0,7.2802331487764604e-06,8500,9500,0.6978153855013478,0.918405104249159,0.1387978120340401,baseline,83
1.0,6.4756568463053554e-06,8000,9000,0.706124394242536,0.951101737163261,0.12614103356729822,baseline,120
1.0,3.9788123103789985e-05,9000,10000,0.670716561685769,0.8441473239471384,0.1467501000109103,baseline,69
1.0,4.1176474042003974e-05,9500,9500,0.6760948550562004,0.8841099083825654,0.14400747126959304,baseline,67
1.0,6.386409950209782e-05,9500,10000,0.6507004945228144,0.8298237716339897,0.1443543841146307,baseline,63
1.0,9.716784916236065e-06,8500,9000,0.6816120467567637,0.9362230100928753,0.13374157862675926,baseline,26
1.0,7.385810022242367e-06,9000,9500,0.6977742227582667,0.927789959215529,0.13481669591228132,baseline,28
1.0,1.3955198483017739e-05,8500,9500,0.6734913387551235,0.9236900588750104,0.1373504950540059,baseline,117
1.0,7.158424068620661e-06,8000,8500,0.7015126096237366,0.9434484794003385,0.12811852202058407,baseline,116
1.0,6.94806658430025e-06,8500,9500,0.7064571606257607,0.9368106071601694,0.13201979988726043,baseline,64
1.0,7.799193554092199e-06,6500,8000,0.7045286318730857,0.9604321593799836,0.1240768879332291,baseline,109
1.0,8.544480806449428e-06,6500,8000,0.692091225166482,0.9668289997742299,0.12193290404407753,baseline,124
1.0,7.758147148706485e-06,9000,9500,0.6855500999860757,0.9255302363279604,0.13678253536749463,baseline,68
1.0,6.462666078732582e-06,6500,8000,0.7051984985117726,0.9624370766527292,0.12254291377241153,baseline,14
1.0,3.6546887713484466e-05,9500,9500,0.6782566968809605,0.8409684877434647,0.1532283635487508,baseline,36
1.0,5.3664054576074705e-05,9000,10000,0.6742359362742142,0.8282503148660867,0.1527763255991563,baseline,111
1.0,4.775352863362059e-05,9500,9500,0.6617687849043588,0.856720026881365,0.14846790104375024,baseline,104
1.0,8.229143531934824e-06,8000,9000,0.6952494677885863,0.9416270051580146,0.13167942184601955,baseline,10
1.0,6.402425697160652e-06,8000,8500,0.7039390339119314,0.9444007643127044,0.12931041340873548,baseline,17
1.0,1.0422052582725883e-05,7000,7500,0.6809539129863499,0.9488174288951935,0.13024176501072843,baseline,74
1.0,6.7791715991916135e-06,8000,8500,0.6988236326717681,0.9540271740837846,0.12513325317307342,baseline,11
1.0,8.778986739343964e-06,8500,9500,0.6969307285194958,0.9450571904550491,0.130680165108921,baseline,3
1.0,6.544048119394574e-06,6500,8500,0.7055104495952313,0.9526032283443437,0.12686952212968686,baseline,119
1.0,3.491906318231486e-05,9500,9500,0.6789560044643814,0.8316944388249167,0.15150601656544352,baseline,65
1.0,9.682668860477861e-06,7500,8500,0.6912104720350366,0.9516199694030795,0.127909124177183,baseline,58
1.0,7.904401172709186e-06,8500,9500,0.6938914378925872,0.9333541549295032,0.13461781057933592,baseline,106
1.0,7.84728672442725e-06,6000,7000,0.6995363264474167,0.9746289978332124,0.11757106457068045,baseline,23
1.0,8.494143912685104e-06,8000,9000,0.6969936318010688,0.9302603948496427,0.13502325253664038,baseline,85
1.0,5.250372851151042e-05,9500,10000,0.6690577946306532,0.8966624225060033,0.141566011746736,baseline,48
1.0,8.239492672146298e-06,9000,10000,0.6940723173147973,0.918117003498898,0.13894669191184494,baseline,39
1.0,5.584076279774308e-05,9500,10000,0.6595905884465239,0.8558792414839014,0.14598751682001673,baseline,99
1.0,7.959984941408038e-06,8500,9500,0.6931764845879963,0.9260080451164996,0.13661973351638357,baseline,84
1.0,5.897559276490938e-06,8000,9000,0.7029187368893334,0.9276897954984795,0.1333452285703895,baseline,95
1.0,6.395951913873432e-06,8000,9000,0.6962824035167341,0.933821981134048,0.13320373586209405,baseline,43
1.0,7.015379651420517e-06,8500,9000,0.6906977701364216,0.9489668036316958,0.12850009773793503,baseline,7
1.0,4.024627560283989e-05,10000,10000,0.6732142488208299,0.8189427196134685,0.15165404407753574,baseline,78
1.0,3.560715413186699e-05,9500,9500,0.672471252471906,0.8456610168396131,0.14801813606938938,baseline,101
1.0,8.35036098578712e-06,7000,8500,0.6942309616947466,0.970658648263011,0.12007218969342112,baseline,24
1.0,6.836737156845629e-06,9000,9500,0.6968419972872708,0.9305238442059204,0.13431550487325888,baseline,15
1.0,4.5341061195358634e-05,9500,9500,0.6645653210551007,0.8877738864234974,0.14303066016292684,baseline,27
1.0,4.053609154652804e-05,9500,9500,0.6768954851394556,0.8028901494779848,0.15308175664617957,baseline,33
1.0,7.557815479231067e-06,8500,9500,0.7031642298687909,0.9432646976587556,0.1307108502745754,baseline,20
1.0,4.6725257561774924e-05,9500,9500,0.6712219747779358,0.8161310615873549,0.15004222051496524,baseline,25
1.0,8.164980499714147e-06,6500,8000,0.6956016056649638,0.95345466009798,0.12676269229370477,baseline,41
1.0,3.088464291067794e-05,9500,9500,0.6846788453137517,0.8912336450019898,0.14594234143724769,baseline,16
1.0,2.9943723347969353e-05,9000,9500,0.6859338906717719,0.8848600492794149,0.14797097183329092,baseline,113
1.0,7.142851245589554e-06,9000,10000,0.6893843439211442,0.9154436614663094,0.1396291527257519,baseline,60
1.0,8.16662850411376e-06,9000,9500,0.693358846982448,0.9258560331214023,0.13662854129541402,baseline,96
1.0,7.095287855918286e-06,6500,8000,0.7035204180418745,0.9479685265004502,0.12876660408408191,baseline,122
1.0,7.081468083924847e-06,7500,8500,0.6929402886773596,0.9667138198295623,0.12211332145324943,baseline,55
1.0,8.475921276840381e-06,8500,9000,0.6925908351558144,0.9438513279410439,0.13044519629414117,baseline,29
1.0,8.014966624614317e-06,9500,10000,0.6876497143037414,0.9199992695428035,0.1383991890024366,baseline,71
1.0,8.201418495445978e-06,7000,8500,0.6936034141125046,0.9523205339227035,0.12764460668436559,baseline,91
1.0,8.162948688550387e-06,6500,7500,0.6878369681243521,0.9643294829568414,0.12282334209186455,baseline,54
1.0,9.572956514602993e-06,7500,9000,0.6811204716397958,0.9511707335387278,0.1290495895006728,baseline,12
1.0,6.427324933611089e-06,8500,9500,0.701248844351751,0.9150422982317724,0.13883190666254502,baseline,70
1.0,7.377680049103219e-06,8000,9000,0.6980626493623527,0.9439081302785521,0.13065771947848856,baseline,87
1.0,7.5815087257069536e-06,6500,7000,0.6941510289382478,0.9663082107270543,0.12119844892170054,baseline,18
1.0,4.2337458580732346e-05,9500,9500,0.6625153906549668,0.8367925011888395,0.14616083118158343,baseline,4
1.0,6.3725515246915165e-06,7500,8500,0.7079634191954599,0.9398082113796139,0.1312211332145325,baseline,118
1.0,1.2548575796245132e-05,9000,10000,0.6756002375404246,0.9090239640040719,0.14080428092155506,baseline,97
