final_test_acc,final_test_loss,steps_to_0.5,steps_to_0.9,weight_norm_reduction,benford_chi2_reduction,p1_change,condition,seed
1.0,0.00019515212625265121,8000,8500,0.7702910493875885,0.9901699764224942,0.1325603967385041,full_steerage_v2,64
1.0,4.71995044790674e-05,5500,6000,0.7719263574038195,0.9889803199145145,0.12509453872306095,full_steerage_v2,109
1.0,0.00037049042293801904,7000,8000,0.760144263103021,0.994267827026861,0.13796891206638237,full_steerage_v2,124
1.0,3.5891316656488925e-05,5500,6000,0.781544173806335,0.986181647029704,0.12133009680765239,full_steerage_v2,68
1.0,0.0002721694181673229,6500,8000,0.7625108561013306,0.991240345356341,0.1486481862971073,full_steerage_v2,14
1.0,5.160786531632766e-05,6000,7500,0.7797936384550112,0.9945933721212341,0.13155468479889362,full_steerage_v2,36
1.0,4.657130193663761e-05,6500,7000,0.7790591300344519,0.9837635964246443,0.12360172726748878,full_steerage_v2,111
1.0,0.005700572859495878,5500,6500,0.7509522833565468,0.9729743630130536,0.1643686253889593,full_steerage_v2,104
0.08115942031145096,40.23533630371094,6000,6500,0.7512405975566473,0.9913186319668944,0.15227577215627525,full_steerage_v2,10
1.0,3.925804776372388e-05,5500,6000,0.7813018985454693,0.9886110579893539,0.12237272386769618,full_steerage_v2,17
1.0,5.786856127087958e-05,6000,7000,0.7780093431957766,0.9860371190720827,0.12371337299757984,full_steerage_v2,74
1.0,7.557992648798972e-05,6000,7500,0.7699392652668617,0.9952669217561476,0.13154298000460987,full_steerage_v2,11
1.0,0.0002074030926451087,7000,8500,0.7704697638359411,0.9921601538847145,0.1450070949060735,full_steerage_v2,3
1.0,4.184929275652394e-05,5500,6000,0.7833252365539045,0.9877643893366124,0.12448138757635127,full_steerage_v2,119
1.0,0.00014757704047951847,7000,8000,0.7670886013054159,0.9939040642108131,0.13836507433444736,full_steerage_v2,65
1.0,4.3126590753672644e-05,6000,7000,0.7802108686031088,0.9822881090179342,0.12031538118013141,full_steerage_v2,58
1.0,0.00014004034164827317,8000,8000,0.7700738253463637,0.9862878438239158,0.13916820329607005,full_steerage_v2,106
1.0,0.00016095279715955257,7500,8000,0.7678251604189715,0.9981880848968593,0.13544247723867697,full_steerage_v2,23
1.0,0.00014801677025388926,8000,8000,0.7773124141247222,0.9870232516821534,0.13819040278898237,full_steerage_v2,85
1.0,0.00013804434274788946,7000,8500,0.764097020144624,0.9963558485569972,0.13916280108332374,full_steerage_v2,48
1.0,3.210573777323589e-05,5500,5500,0.7864143812589444,0.9870880398708451,0.12293995620606199,full_steerage_v2,39
1.0,8.102750143734738e-05,6500,7000,0.7673660380828184,0.9972149229571602,0.1364959087242134,full_steerage_v2,99
1.0,5.9448768297443166e-05,6000,7000,0.7804519021727314,0.9896387101388292,0.12483253140486342,full_steerage_v2,84
1.0,4.150432505412027e-05,5500,6500,0.7696168971048434,0.9920801610254472,0.12618308459144867,full_steerage_v2,95
0.9980676174163818,0.01899850368499756,7500,8000,0.7382384165568044,0.9733997879090367,0.16098413910337672,full_steerage_v2,43
1.0,4.256415195413865e-05,6000,7500,0.7774316213086057,0.9971308158663158,0.13518857323959896,full_steerage_v2,7
1.0,4.0222999814432114e-05,5500,6000,0.7832415270664262,0.9922584854970286,0.1262136971303446,full_steerage_v2,78
1.0,0.00016393839905504137,8500,8500,0.7741005452012485,0.9815231129797949,0.14379789961968423,full_steerage_v2,101
0.7385507225990295,1.1754194498062134,7000,8500,0.7437986514728022,0.9433292274896793,0.1678782629364988,full_steerage_v2,24
1.0,6.31671937298961e-05,6000,7000,0.7708422599767542,0.9973307444335954,0.1326981531635358,full_steerage_v2,15
1.0,0.008775550872087479,5500,7000,0.7459968492655875,0.9837486446453828,0.15541805923706353,full_steerage_v2,27
1.0,4.514691318036057e-05,6500,7500,0.7812610742133483,0.993295450133418,0.13549289789097613,full_steerage_v2,33
1.0,4.456629176274873e-05,6000,6000,0.7783555717056622,0.9926602213830227,0.12683585196496486,full_steerage_v2,20
1.0,0.00013057082833256572,7500,8500,0.7663500892607961,0.9894280073935426,0.14686185461565057,full_steerage_v2,25
1.0,6.478376599261537e-05,6000,6000,0.7734847711360098,0.98558091741091,0.12236281981099459,full_steerage_v2,41
1.0,0.0001890867279144004,8000,8500,0.7696569005887332,0.9877564055277558,0.13740888267834503,full_steerage_v2,16
1.0,0.00019081526261288673,8000,8500,0.7625200376775154,0.9789698937818134,0.13574230004609888,full_steerage_v2,113
1.0,6.292136094998568e-05,6000,7500,0.7759548681701943,0.9934549178761876,0.1278064495217241,full_steerage_v2,60
